conta,descricao,origem,akd_debito,akd_credito,akd_abs_saldo,ct2_debito,ct2_credito,ct2_abs_saldo,ct2_max,ct2_min,diff_abs_saldo,diff_ct2_debito,diff_ct2_credito,diff_ct2_max,diff_ct2_min,melhor_formula_ct2
1114010003,BC/CP BB RENDE FÁCIL - 5494-1R - HON SUC,somente_ct2,0.00,0.00,0.00,498.62,85.40,413.22,498.62,85.40,413.22,498.62,85.40,498.62,85.40,ct2_credito
1114010004,BB RENDE FACIL - FAO 4316118R,somente_ct2,0.00,0.00,0.00,5091.03,2050.91,3040.12,5091.03,2050.91,3040.12,5091.03,2050.91,5091.03,2050.91,ct2_credito
1114010099,C/P 5494-VR01P-3307-3 HON DE SUCUMBEN,somente_ct2,0.00,0.00,0.00,1.32,0.27,1.05,1.32,0.27,1.05,1.32,0.27,1.32,0.27,ct2_credito
1114060001,BRADESCO INVEST FACIL AG3416,somente_ct2,0.00,0.00,0.00,2008830.62,2083422.47,74591.85,2083422.47,2008830.62,74591.85,2008830.62,2083422.47,2083422.47,2008830.62,ct2_abs_saldo
1116010001,BB/FUNDO 7364-4C - COMERCIAL17 LP (GI,somente_ct2,0.00,0.00,0.00,1597621.49,1579636.50,17984.99,1597621.49,1579636.50,17984.99,1597621.49,1579636.50,1597621.49,1579636.50,ct2_abs_saldo
1116010002,BB - FUNDO 3307-3 - ABRC,somente_ct2,0.00,0.00,0.00,204045330.74,184146709.38,19898621.36,204045330.74,184146709.38,19898621.36,204045330.74,184146709.38,204045330.74,184146709.38,ct2_abs_saldo
1116010003,BB-F/A: 431611-8A - FAO INVESTIMENTOS,somente_ct2,0.00,0.00,0.00,122220.97,502433.22,380212.25,502433.22,122220.97,380212.25,122220.97,502433.22,502433.22,122220.97,ct2_debito
1116010004,C/C 6503-XA BACEN JUD,somente_ct2,0.00,0.00,0.00,1303.21,79.64,1223.57,1303.21,79.64,1223.57,1303.21,79.64,1303.21,79.64,ct2_credito
1116010006,BB 6503-XR BACEN JUD,somente_ct2,0.00,0.00,0.00,4895.04,0.00,4895.04,4895.04,0.00,4895.04,4895.04,0.00,4895.04,0.00,ct2_credito
1116020001,CEF/FUNDO 6010-3A APEXPORT,somente_ct2,0.00,0.00,0.00,36477763.50,0.00,36477763.50,36477763.50,0.00,36477763.50,36477763.50,0.00,36477763.50,0.00,ct2_credito
1116020003,CAIXA FIC AMETISTA CORP RF SIMPLES,somente_ct2,0.00,0.00,0.00,4303.09,17267.58,12964.49,17267.58,4303.09,12964.49,4303.09,17267.58,17267.58,4303.09,ct2_debito
1116050001,SANTANDER INVESTIMENTOS,somente_ct2,0.00,0.00,0.00,3092967.05,3070389.79,22577.26,3092967.05,3070389.79,22577.26,3092967.05,3070389.79,3092967.05,3070389.79,ct2_abs_saldo
1116070001,XP INVESTIMENTOS 15652676 APL,somente_ct2,0.00,0.00,0.00,512.30,0.31,511.99,512.30,0.31,511.99,512.30,0.31,512.30,0.31,ct2_credito
1121010001,CONTAS A RECEBER DE CLIENTES,somente_ct2,0.00,0.00,0.00,4450820.73,3322418.13,1128402.60,4450820.73,3322418.13,1128402.60,4450820.73,3322418.13,4450820.73,3322418.13,ct2_abs_saldo
1121020001,CONTAS A RECEBER FORA DO BRASIL,somente_ct2,0.00,0.00,0.00,1411282.13,1095976.13,315306.00,1411282.13,1095976.13,315306.00,1411282.13,1095976.13,1411282.13,1095976.13,ct2_abs_saldo
1122010001,REPASSE INSS A RECEBER,somente_ct2,0.00,0.00,0.00,224839297.65,275895899.33,51056601.68,275895899.33,224839297.65,51056601.68,224839297.65,275895899.33,275895899.33,224839297.65,ct2_abs_saldo
