tipo_grupo;recno_ancora;pares_no_grupo;pares_selecionados;pares_bloqueados;score_maximo;assinatura;evidencia;akd_recnos;ct2_recnos
ct2_Nx1;2112793;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432800|2432801|2432802;2112793
ct2_Nx1;2112797;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432808|2432809|2432810;2112797
ct2_Nx1;2127077;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2435964|2435965|2435966;2127077
ct2_Nx1;2126525;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2441644|2441645|2441646;2126525
ct2_Nx1;2127470;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2442999|2443000|2443001;2127470
ct2_Nx1;2127472;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2443003|2443004|2443005;2127472
ct2_Nx1;2127888;3;1;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2481717|2481718|2481719;2127888
akd_1xN;2414135;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414135;2109937|2109938
akd_1xN;2414171;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414171;2109911|2109912
akd_1xN;2414207;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414207;2109929|2109930
akd_1xN;2414215;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414215;2109933|2109934
akd_1xN;2415759;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2415759;2110197|2110198
akd_1xN;2419180;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2419180;2110441|2110442
akd_1xN;2424551;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424551;2112461|2112462
akd_1xN;2424555;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424555;2112463|2112464
akd_1xN;2424571;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424571;2112421|2112422
akd_1xN;2424619;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424619;2112445|2112446
akd_1xN;2424627;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424627;2112449|2112450
akd_1xN;2424643;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2424643;2112457|2112458
akd_1xN;2425691;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2425691;2112566|2112567
akd_1xN;2432802;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432802;2112793|2112794
akd_1xN;2432810;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2432810;2112797|2112798
akd_1xN;2435966;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2435966;2127077|2127078
akd_1xN;2441646;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2441646;2126525|2126526
akd_1xN;2443001;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2443001;2127470|2127471
akd_1xN;2443005;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2443005;2127472|2127473
akd_1xN;2481719;2;0;2;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2481719;2127888|2127889
akd_1xN;2414133;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414133;2109937|2109938
akd_1xN;2414134;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414134;2109937|2109938
akd_1xN;2414169;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414169;2109911|2109912
akd_1xN;2414170;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414170;2109911|2109912
akd_1xN;2414205;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414205;2109929|2109930
akd_1xN;2414206;2;1;1;693;xdoc|xdoc_at01cr|xnumap_xdocum|xnumap_at04db|doc_hist|doc_extra|chave_estruturada|competencia|ent05_conta|cc|classe_valor|tokens|texto;ancora_documental_ou_estruturada + contexto_contabil;2414206;2109929|2109930
