key;akd_rows;ct2_rows;akd_total;ct2_total;status
0000321891;3;4;22047.78;29397.04;ambiguo
0000321892;3;4;24708.93;32945.24;ambiguo
0000321893;3;8;29272.56;37907.96;ambiguo
0000321894;3;4;30359.16;40478.88;ambiguo
0000321895;3;8;16096.05;21166.30;ambiguo
0000321896;3;4;7200.00;9600.00;ambiguo
0000321897;3;4;3900.00;5200.00;ambiguo
0000321898;3;5;300.30;394.90;ambiguo
0000321899;3;4;59880.00;79840.00;ambiguo
0000321900;3;8;4610.76;6063.15;ambiguo
0000321901;7;9;295380.95;761666.64;ambiguo
0000321902;3;5;4650.00;6138.00;ambiguo
0000321903;3;8;358.05;470.83;ambiguo
0000321904;3;14;5486.25;14529.41;ambiguo
0000321905;3;11;71250.00;189050.00;ambiguo
0000321906;3;4;10724.91;14299.88;ambiguo
0000321907;3;4;360000.00;480000.00;ambiguo
0000321908;4;8;17359.47;44798.64;ambiguo
0000321909;10;10;403.00;904.38;ambiguo
0000321910;3;8;37904.07;49843.86;ambiguo
0000321911;3;7;54000.00;71730.00;ambiguo
0000321912;3;4;450000.00;600000.00;ambiguo
0000321913;1;7;6207.00;24734.89;ambiguo
0000321914;3;4;28500.00;38000.00;ambiguo
0000321915;7;6;229320.78;274939.20;ambiguo
0000321916;7;6;52800.04;64932.08;ambiguo
0000321917;7;6;27984.00;34413.98;ambiguo
0000321918;7;6;37454.94;45385.96;ambiguo
0000321919;4;4;144245.79;186123.60;ambiguo
0000321920;6;13;24145.53;73862.65;ambiguo
0000321921;3;8;26758.89;35187.95;ambiguo
0000321922;3;8;38801.58;51024.07;ambiguo
0000321923;3;8;10484.85;13787.59;ambiguo
0000321924;3;8;24127.56;31727.74;ambiguo
0000321925;3;4;19733.19;26310.92;ambiguo
0000321926;3;5;147540.00;194752.80;ambiguo
0000321927;3;8;11360.58;14939.17;ambiguo
0000321928;3;7;945.00;1255.27;ambiguo
0000321930;3;5;7800.00;10296.00;ambiguo
0000321931;3;8;600.60;789.80;ambiguo
0000321933;3;4;28080.00;37440.00;ambiguo
0000321934;3;8;2162.16;2843.25;ambiguo
0000321935;3;5;53400.00;70488.00;ambiguo
0000321936;3;8;4111.80;5407.02;ambiguo
0000321937;3;5;10696.62;14119.54;ambiguo
0000321938;3;4;19707.72;26276.96;ambiguo
0000321939;3;4;4839.30;6452.40;ambiguo
0000321940;3;4;1446.30;1928.40;ambiguo
0000321941;10;17;39773.69;177832.24;ambiguo
0000321942;3;5;100.17;132.22;ambiguo
0000321943;3;4;1699.83;2266.44;ambiguo
0000321944;3;5;22648.95;30079.40;ambiguo
0000321945;3;5;733.59;974.26;ambiguo
0000321946;3;5;1112092.80;1476937.28;ambiguo
0000321947;3;5;6150.66;8118.46;ambiguo
0000321948;3;5;5455.53;7245.32;ambiguo
0000321949;3;4;765.00;1020.00;ambiguo
0000321950;3;4;255000.00;340000.00;ambiguo
0000321951;3;4;372.00;496.00;ambiguo
0000321952;3;4;765.00;1020.00;ambiguo
0000321953;3;23;484095.51;2565706.20;ambiguo
0000321954;3;17;86184.00;343314.72;ambiguo
0000321955;3;5;48000.00;62400.00;ambiguo
0000321957;3;5;54000.00;70200.00;ambiguo
0000321958;3;4;2667.00;3556.00;ambiguo
0000321959;3;4;330000.00;440000.00;ambiguo
0000321960;3;5;510832.59;678421.52;ambiguo
0000321961;3;5;105153.45;139651.16;ambiguo
0000321962;3;5;141645.00;188114.50;ambiguo
0000321964;3;5;37440.00;48672.00;ambiguo
0000321965;3;4;1026.15;1368.20;ambiguo
0000321967;3;8;496126.56;652406.43;ambiguo
0000321968;1;4;1489.20;5956.80;ambiguo
0000321969;3;4;22800.00;30400.00;ambiguo
0000321970;3;7;7824.06;10392.96;ambiguo
0000321971;7;6;21994.97;27041.38;ambiguo
0000321972;3;4;6447.42;8596.56;ambiguo
0000321973;7;6;13804.28;16549.56;ambiguo
0000321974;3;7;23061.93;30633.93;ambiguo
0000321975;1;7;6147.00;24495.79;ambiguo
0000321976;7;6;27233.01;32648.86;ambiguo
0000321977;7;6;60150.56;73951.22;ambiguo
0000321978;10;8;43389.12;51865.58;ambiguo
0000321980;1;4;1015.00;4060.00;ambiguo
0000321981;10;8;15826.58;19303.60;ambiguo
0000321983;7;6;42226.86;51909.20;ambiguo
0000321984;3;4;619178.91;825571.88;ambiguo
0000321985;3;4;44951.16;59934.88;ambiguo
0000321986;3;4;61750.08;82333.44;ambiguo
0000321987;3;4;11730.66;15640.88;ambiguo
0000321988;7;6;9343.74;11486.20;ambiguo
0000321989;3;4;35998.20;47997.60;ambiguo
0000321990;3;4;41907.00;55876.00;ambiguo
0000321991;1;4;300.00;1200.00;ambiguo
0000321992;3;8;3226.83;4243.30;ambiguo
0000321993;3;8;42393.75;113050.00;ambiguo
0000321994;3;4;35999.88;47999.84;ambiguo
0000321995;3;4;35999.91;47999.88;ambiguo
0000321996;1;6;102960.00;411840.00;ambiguo
0000321997;3;8;23783.76;31275.65;ambiguo
0000321998;3;4;71657.10;95542.80;ambiguo
0000321999;3;4;36121.32;48161.76;ambiguo
0000322000;1;4;1800.00;7200.00;ambiguo
0000322001;3;4;6701.97;8935.96;ambiguo
0000322002;3;4;30000.00;40000.00;ambiguo
0000322003;3;4;162604.32;216805.76;ambiguo
0000322004;3;8;2310.00;3037.65;ambiguo
0000322005;3;11;30000.00;79536.00;ambiguo
0000322006;3;4;9000.00;12000.00;ambiguo
0000322007;3;4;350342.40;467123.20;ambiguo
0000322008;3;8;693.00;911.29;ambiguo
0000322009;6;6;75611.49;100635.32;ambiguo
0000322011;7;6;133210.07;163773.16;ambiguo
0000322012;3;8;85228.74;112075.80;ambiguo
0000322013;3;4;60000.00;80000.00;ambiguo
0000322014;7;4;5491.36;6853.52;ambiguo
