"CT5_LANPAD","CT5_SEQUEN","CT5_ORIGEM","CT5_DESC","CT5_XDOC"
"531","013","""LP: 531-013""                                                                                       ",EXCLUSAO BAIXA CONTAS A PAGAR MANUAL - PTC (FISCAL)                                                 ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"531","015","""LP: 531-015""                                                                                       ",CANCELAMENTO BAIXA CONTAS A PAGAR MANUAL - RETENCAO IRF (FISCAL)                                    ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","001","""LP: 532-001""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - FORNECEDOR (FISCAL)                                                  ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","002","""LP: 532-002""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - JUROS  (FISCAL)                                                      ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","003","""LP: 532-003""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - MULTA (FISCAL)                                                       ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","004","""LP: 532-004""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - DESCTO (FISCAL)                                                      ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","005","""LP: 532-005""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - BANCO (FISCAL)                                                       ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","007","""LP: 532-007""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - RETENCAO PIS (FISCAL)                                                ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"532","008","""LP: 532-008""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - RETENCAO COFINS (FISCAL)                                             ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"532","009","""LP: 532-009""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - RETENCAO CSLL (FISCAL)                                               ,"""SE2""+CVALTOCHAR(SE2->(RECNO()))                                                                    "
"532","010","""LP: 532-010""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - IOF S/ REMESSA EXTERIOR                                              ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","011","""LP: 532-011""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - TAXAS S/ REMESSA EXTERIOR - DEBITO                                   ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","012","""LP: 532-012""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - (PA)                                                                 ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","013","""LP: 532-013""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - TAXAS S/ REMESSA EXTERIOR - CREDITO                                  ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","014","""LP: 532-014""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - COMPLEMENTO PTC                                                      ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"532","016","""LP: 532-016""                                                                                       ",BAIXA CONTAS A PAGAR BORDERO - RETENCAO IRF                                                         ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"560","001","""LP: 560-001""                                                                                       ",MOVIMENTO BANCARIO - TRANSFERENCIA SAIDA BANCO ORIGEM - CREDITO (FISCAL)                            ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"561","001","""LP: 561-001""                                                                                       ",MOVIMENTO BANCARIO - TRANSFERENCIA ENTRA BANCO DESTINO - DEBITO (FISCAL)                            ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
"562","001","""LP: 562-001""                                                                                       ",MOVIMENTO BANCARIO - INCLUSAO DE MOVIMENTO A PAGAR (FISCAL)                                         ,"""SE5""+CVALTOCHAR(SE5->(RECNO()))                                                                    "
