reason_signature;candidatos;selecionados;taxa_selecao
cc|ent05_conta|texto|valor;124;0;0.0
cc|classe_valor|conta_cc_classe|ent05_conta|texto|valor;120;0;0.0
competencia|doc_hist_1|valor;112;7;6.25
cc|chave_estruturada|classe_valor|conta_cc_classe|doc_extra|ent05_conta|valor;111;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;106;8;7.55
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|insight_classe_valor_competencia|texto|valor;103;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|insight_classe_valor_competencia|tokens|valor;92;4;4.35
cc|classe_valor|doc_extra|doc_hist_1|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;90;25;27.78
cc|competencia|doc_hist_1|valor;86;2;2.33
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_1|ent05_conta|insight_classe_valor_competencia|proc_hist_competencia|proc_hist_conta|proc_hist_data_exata|proc_hist_data_valor_exato|texto|tokens|valor;84;32;38.1
competencia|doc_hist_1|texto|tokens|valor;80;28;35.0
doc_hist_1|valor;78;0;0.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|insight_xnumap_cc|insight_xnumap_conta|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;74;70;94.59
cc|doc_hist_1|valor;73;5;6.85
cc|competencia|proc_hist_competencia|proc_hist_data_exata|proc_hist_data_valor_exato|texto|tokens|valor;71;1;1.41
cc|competencia|doc_extra|doc_hist_2|insight_xnumap_cc|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;69;4;5.8
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|texto|tokens|valor|xdoc|xdoc_at01cr;65;31;47.69
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|texto|tokens|valor|xdoc|xdoc_at01cr;63;31;49.21
cc|chave_estruturada|classe_valor|doc_extra|valor;62;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|valor|xdoc|xdoc_at01cr;60;30;50.0
chave_estruturada|competencia|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;57;19;33.33
chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor|xdoc|xdoc_at01cr;56;19;33.93
cc|competencia|competencia_conta_cc|ent05_conta|proc_hist_competencia|proc_hist_conta|proc_hist_data_exata|proc_hist_data_valor_exato|texto|valor;52;0;0.0
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_2|ent05_conta|insight_classe_valor_competencia|proc_hist_competencia|proc_hist_conta|proc_hist_data_exata|proc_hist_data_valor_exato|texto|tokens|valor;50;32;64.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;50;3;6.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_conta|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;49;7;14.29
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;49;13;26.53
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|insight_xnumap_cc|insight_xnumap_classe|insight_xnumap_valor|tokens|valor|xnumap_at04db|xnumap_xdocum;46;21;45.65
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|insight_xnumap_cc|insight_xnumap_valor|valor|xnumap_at04db|xnumap_xdocum;46;6;13.04
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_2|ent05_conta|insight_classe_valor_competencia|texto|tokens|valor;44;42;95.45
cc|classe_valor|tokens|valor;44;0;0.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_2|ent05_conta|insight_xnumap_cc|insight_xnumap_conta|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;42;21;50.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|insight_classe_valor_competencia|texto|tokens|valor;41;2;4.88
cc|competencia|doc_hist_1|texto|tokens|valor;39;5;12.82
chave_estruturada|competencia|doc_extra|doc_hist_2|insight_xnumap_valor|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;38;18;47.37
cc|classe_valor|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|valor|xdoc|xdoc_at01cr;38;38;100.0
