CT1_CONTA,CT1_DESC01
1116020001,CEF/FUNDO 6010-3A APEXPORT
1116020002,CEF/FUNDO 6010-3 CAPITAL DE GIRO
1116020003,CAIXA FIC AMETISTA CORP RF SIMPLES
1116029999,CEF/CP 10072-2
1116030001,BRADESCO-F/A 10125-7B - CAPITAL DE GI
1116030002,BRADESCO-F/A 0010125-7C-CAPITAL DE GI
1116030003,BRADESCO-F/A 0010125-7A CAPITAL DE GI
1116030004,BRADESCO-F/A 0010125-7D CAPITAL DE GI
1116030005,BRADESCO -  0010125-7 FUNDO FICFIM MULTI
1116040001,BCO RENDIMENTO
1116050001,SANTANDER INVESTIMENTOS
1116060001,BANCO BTG INVESTIMENTOS _ 407761-8A
1116070001,XP INVESTIMENTOS 15652676 APL
1116980001,(-) IRRF S/REND. APLICACAO FINANCEIRA
1116990001,(+/-) RECLASSIFICAÇÃO CP/LP
1118010001,BANCOS CONVENIOS SETORIAIS (PSI E PEI
1121010001,CONTAS A RECEBER DE CLIENTES
1121020001,CONTAS A RECEBER FORA DO BRASIL
1121990001,(-) PROVISAO CRED LIQUIDACAO DUVIDOSA
1121990002,CLIENTES ESTRANGEIROS
1122010001,REPASSE INSS A RECEBER
1123010001,"CREDITOS DE VIAGENS (PASSAG, SEGURO E"
1123010002,OPERAÇOES COM CARTÃO C/D
1123010003,MULTAS A RESSARCIR
1123010004,CREDITOS GERAIS A RECEBER
1123010005,CREDITOS A RESGATAR-VTM_BANCO RENDIME
1123010006,VALORES A RECUPERAR DE EMPREGADOS
1123010007,VALORES A RECEBER DO F.A.O.
1123010008,VALORES A RECEBER DE CONVENIOS
1123010009,VALORES A COMPENSAR DE TERCEIROS
1123019999,CREDITOS A RECEBER CNS
1124010001,PROJETOS SETORIAIS
1124010002,ADIANTAMENTOS PEIEX
1124010003,PROMOCAO MULTISSETORIAL/COMPLEXOS/VAR
1124010004,ADIANTAMENTOS OUTROS CONVENIOS
1124010005,SERVICOS DE INTERNACIONALIZACAO
1124010006,PROMOCAO E CONSULTORIA EM INVESTIMENT
1124010007,CP-CONTRATOS DE PATROCINIO
1124010008,MERCADOS REGIONAIS
1124010010,SERVICOS DE INTELIGENCIA COMERCIAL
1124010011,ADIANTAMENTOS PEIEX
1124020001,AD.DE DIARIAS NACIONAIS EMPREGADOS
1124020002,AD.DE DIARIAS INTERNACIONAIS EMPREGAD
1124020003,AD.DE DESP. FUTURAS EXTERIOR EMPREGAD
1124020004,AD.DE DIARIAS NACIONAIS CONVIDADOS
1124020005,AD.DE DIARIAS INTERNACIONAIS CONVIDAD
1124029999,AD.DE DESP. FUTURAS EXTERIOR CONVIDAD
1124030001,AD.DE SALARIOS DE EMPREGADOS
1124030002,AD.DE FERIAS
1124030003,AD.DE 13º SALARIO
1124030004,AD.DE EMPREGADOS
1124030005,ADIANTAMENTOS PARA VIAGENS
1124030006,ADIANTAMENTOS FUNDO FIXO DE CAIXA
1124030007,AD. PENSÃO ALIMENTICIA S/ FERIAS
1124030008,AD. DE VALE TRANSPORTE
1124039998,AD.DE PAFAE
1124039999,AD.DE PAFIN
1124040001,AD.DE DESCANSO ANUAL
1124040002,AD.DE GRATIFICACAO ANUAL
1124049999,AD.DE PRO-LABORE
1124050001,ADIANTAMENTO P/ TERCEIROS
1124050002,ADIANTAMENTOS EAS
1124050003,ADIANT. PENSAO ALIMENTICIA S/ FERIAS
1124050004,ADIANTAMENTO A FORNECEDORES
1124990001,PROVISAO AD. REPASSE PROJETOS
1125010001,ANTECIPACAO PIS/FGTS S/ 13º SALARIO
1125010002,IRRF A COMPENSAR
1125010003,IRPJ A COMPENSAR
1125010004,PIS RETIDO A COMPENSAR
1125010005,COFINS RETIDA A COMPENSAR
1125010006,CSLL RETIDA A COMPENSAR
1125010007,PIS/COFINS/CSLL RETIDOS A COMPENSAR
1125010008,PIS IMPORTACAO A COMPENSAR
1125010009,COFINS IMPORTACAO A COMPENSAR
1125010010,CIDE IMPORTACAO  A COMPENSAR
1125019994,INSS A RECUPERAR
1125020001,ICMS A RESTITUIR
1125030001,ISS A RECUPERAR
1125030002,ISS A RESTITUIR
1125030003,TAXA DE FUNCIONAM DE ESTAB - TEF ADAS
1125040001,TRIBUTOS CORPORATIVOS A RECUPERAR
1125040002,V.A.T A RECUPERAR
1125050001,PIS S/ FATURAMENTO A RECUPERAR
1125050002,COFINS S/ FATURAMENTO A RECUPERAR
1125050003,PIS S/ FATURAMENTO A COMPENSAR
1125050004,COFINS S/ FATURAMENTO A COMPENSAR
1125060001,OUTROS IMPOSTOS E CONTRIB A RECUPERAR
1131010001,MATERIAIS DE NATUREZA PERMANENTE
1141010001,SEGUROS EM GERAL
1141020001,PERIODICOS E CERTIF. DIGITAL A APROPR
1141020002,DESPESAS A APROPRIAR EAS
1141020003,ARRENDAMENTOS A APROPRIAR
1141020004,MANUTENCAO DE VEICULOS A APROPRIAR
1141020005,ALUGUEL DE IMOVEIS A APROPRIAR
1141020006,LICENCA DE SOFTWARE A APROPRIAR
1151010001,DEPOSITO E CAUCAO EM GERAL
1151010002,AGENCIA GARANTIA O2
1151010003,FUNDO APLICACAO AGENCIA GARANTIA 02
1151010004,BB-F/A 431589-8A CAUCAO LICITACOES
1151010005,BB-F/A 431588-XA CAUCAO LICITACOES
1151020001,DEPOSITOS EM CONTENCIOSO
1161010001,FGTS S/13º SALARIO A DIFERIR
1161010002,PIS S/13º SALARIO A DIFERIR
