key;akd_rows;ct2_rows;akd_total;ct2_total;status
SE5242880;2;2;287.62;287.62;forte_grupo
SE5242886;2;2;36.30;36.30;forte_grupo
SE5242891;2;2;10455031.14;10455031.14;forte_grupo
SE5242892;2;2;240.92;240.92;forte_grupo
SE5242905;3;2;900000.00;600000.00;ambiguo
SE5242906;3;2;665373.93;443582.62;ambiguo
SE5242907;3;2;2070219.03;1380146.02;ambiguo
SE5242908;3;2;54556.26;36370.84;ambiguo
SE5242909;3;2;511445.61;340963.74;ambiguo
SE5242910;3;2;200880.18;133920.12;ambiguo
SE5242911;3;2;2138371.59;1425581.06;ambiguo
SE5242912;3;2;388664.46;259109.64;ambiguo
SE5242913;3;2;60746.28;40497.52;ambiguo
SE5242914;3;2;1318052.82;878701.88;ambiguo
SE5242915;3;2;256515.39;171010.26;ambiguo
SE5242916;3;2;663340.74;442227.16;ambiguo
SE5242917;3;2;67971.72;45314.48;ambiguo
SE5242918;3;2;1852662.15;1235108.10;ambiguo
SE5242919;3;2;1584324.33;1056216.22;ambiguo
SE5242920;3;2;88438.44;58958.96;ambiguo
SE5242921;3;2;767100.87;511400.58;ambiguo
SE5242922;3;2;1848331.92;1232221.28;ambiguo
SE5242923;3;2;1554780.54;1036520.36;ambiguo
SE5242924;3;2;328102.32;218734.88;ambiguo
SE5242925;3;2;111568.32;74378.88;ambiguo
SE5242926;3;2;66954.93;44636.62;ambiguo
SE5242927;3;2;1481646.99;987764.66;ambiguo
SE5242928;3;2;41258.85;27505.90;ambiguo
SE5242929;3;2;1272375.75;848250.50;ambiguo
SE5242983;2;2;12.20;12.20;forte_grupo
SE5242984;2;2;26.80;26.80;forte_grupo
SE5242985;2;2;4339.10;4339.10;forte_grupo
SE5243018;2;2;12137.10;12137.10;forte_grupo
SE5243019;2;2;1413.34;1413.34;forte_grupo
SE5243020;2;2;2174.64;2174.64;forte_grupo
SE5243021;2;2;347.16;347.16;forte_grupo
SE5243022;2;2;12.20;12.20;forte_grupo
SE5243023;2;2;115.60;115.60;forte_grupo
SE5243036;2;2;113.14;113.14;forte_grupo
SE5243074;2;2;8416449.80;8416449.80;forte_grupo
SE5243075;2;2;638.06;638.06;forte_grupo
SE5243076;2;2;137.32;137.32;forte_grupo
SE5243078;2;2;0.78;4.08;ambiguo
SE5243176;3;2;112218.45;74812.30;ambiguo
SE5243178;3;2;535116.12;356744.06;ambiguo
SE5243181;3;2;796475.16;530983.44;ambiguo
SE5243241;3;2;987.00;658.00;ambiguo
SE5243242;3;2;3746.85;2497.90;ambiguo
SE5243244;3;2;540.00;360.00;ambiguo
SE5243245;3;2;4897.05;3264.70;ambiguo
SE5243246;3;2;1234648.89;823099.26;ambiguo
