rank;akd_key;ct2_key;kind;overlap_values;matched_akd_rows;matched_ct2_rows;akd_filled;ct2_filled;akd_distinct;ct2_distinct;akd_coverage_pct;ct2_coverage_pct;overlap_distinct_pct;one_to_one_values;one_to_one_pct;specificity_pct;max_pair_rows;ambiguity_penalty;score;interpretation;sample_values
39;AKD_XNUMAP+AKD_USERGI;CT2_XDOCUM+CT2_USERGA;chave_composta;116;354;270;1086;272;447;117;32.5967;99.2647;99.1453;0;0.0;41.1602;60;28.8462;23.1101;forte para bloqueio seletivo;0000321051||0050404, 0000321269||074010, 0000321282||074010, 0000321283||074010, 0000321284||074010, 0000321285||074010, 0000321286||074010, 0000321287||074010, 0000321289||074010, 0000321290||074010
40;AKD_XDOC+AKD_ENT05;CT2_AT01CR+CT2_DEBITO;chave_composta;46;106;46;2125;316;1013;314;4.9882;14.557;14.6497;16;34.7826;47.6706;3;5.9211;21.1983;indicio util, mas com muita ambiguidade;SE2513078||3141010004, SE2513079||3141010004, SE2513080||3141010004, SE2514413||3141010004, SE2514414||3141010004, SE2514415||3141010004, SE2514416||3141010004, SE2514417||3141010004, SE2514459||3141010004, SE2514476||3141010004
41;AKD_XDOC+AKD_ENT05;CT2_XDOC+CT2_DEBITO;chave_composta;46;106;46;2125;316;1013;314;4.9882;14.557;14.6497;16;34.7826;47.6706;3;5.9211;21.1983;indicio util, mas com muita ambiguidade;SE2513078||3141010004, SE2513079||3141010004, SE2513080||3141010004, SE2514413||3141010004, SE2514414||3141010004, SE2514415||3141010004, SE2514416||3141010004, SE2514417||3141010004, SE2514459||3141010004, SE2514476||3141010004
42;AKD_XNUMAP+AKD_USERGA;CT2_AT04DB+CT2_USERGI;chave_composta;112;342;261;1077;272;444;117;31.7549;95.9559;95.7265;0;0.0;41.2256;60;29.8506;20.819;forte para bloqueio seletivo;0000321269||074010, 0000321282||074010, 0000321283||074010, 0000321284||074010, 0000321285||074010, 0000321286||074010, 0000321287||074010, 0000321289||074010, 0000321290||074010, 0000321291||074010
43;AKD_XNUMAP+AKD_USERGA;CT2_AT04DB+CT2_USERGA;chave_composta;112;342;261;1077;272;444;117;31.7549;95.9559;95.7265;0;0.0;41.2256;60;29.8506;20.819;forte para bloqueio seletivo;0000321269||074010, 0000321282||074010, 0000321283||074010, 0000321284||074010, 0000321285||074010, 0000321286||074010, 0000321287||074010, 0000321289||074010, 0000321290||074010, 0000321291||074010
44;AKD_XNUMAP+AKD_USERGA;CT2_XDOCUM+CT2_USERGI;chave_composta;112;342;261;1077;272;444;117;31.7549;95.9559;95.7265;0;0.0;41.2256;60;29.8506;20.819;forte para bloqueio seletivo;0000321269||074010, 0000321282||074010, 0000321283||074010, 0000321284||074010, 0000321285||074010, 0000321286||074010, 0000321287||074010, 0000321289||074010, 0000321290||074010, 0000321291||074010
45;AKD_XNUMAP+AKD_USERGA;CT2_XDOCUM+CT2_USERGA;chave_composta;112;342;261;1077;272;444;117;31.7549;95.9559;95.7265;0;0.0;41.2256;60;29.8506;20.819;forte para bloqueio seletivo;0000321269||074010, 0000321282||074010, 0000321283||074010, 0000321284||074010, 0000321285||074010, 0000321286||074010, 0000321287||074010, 0000321289||074010, 0000321290||074010, 0000321291||074010
46;AKD_XNUMAP+AKD_UNIORC;CT2_AT04DB+CT2_FILIAL;chave_composta;111;343;260;1077;272;442;117;31.8477;95.5882;94.8718;0;0.0;41.0399;60;29.8506;20.5511;forte para bloqueio seletivo;0000321051||011001, 0000321269||011001, 0000321282||011001, 0000321283||011001, 0000321284||011001, 0000321285||011001, 0000321286||011001, 0000321287||011001, 0000321289||011001, 0000321290||011001
47;AKD_XNUMAP+AKD_UNIORC;CT2_AT04DB+CT2_FILORI;chave_composta;111;343;260;1077;272;442;117;31.8477;95.5882;94.8718;0;0.0;41.0399;60;29.8506;20.5511;forte para bloqueio seletivo;0000321051||011001, 0000321269||011001, 0000321282||011001, 0000321283||011001, 0000321284||011001, 0000321285||011001, 0000321286||011001, 0000321287||011001, 0000321289||011001, 0000321290||011001
48;AKD_XNUMAP+AKD_UNIORC;CT2_XDOCUM+CT2_FILIAL;chave_composta;111;343;260;1077;272;442;117;31.8477;95.5882;94.8718;0;0.0;41.0399;60;29.8506;20.5511;forte para bloqueio seletivo;0000321051||011001, 0000321269||011001, 0000321282||011001, 0000321283||011001, 0000321284||011001, 0000321285||011001, 0000321286||011001, 0000321287||011001, 0000321289||011001, 0000321290||011001
49;AKD_XNUMAP+AKD_UNIORC;CT2_XDOCUM+CT2_FILORI;chave_composta;111;343;260;1077;272;442;117;31.8477;95.5882;94.8718;0;0.0;41.0399;60;29.8506;20.5511;forte para bloqueio seletivo;0000321051||011001, 0000321269||011001, 0000321282||011001, 0000321283||011001, 0000321284||011001, 0000321285||011001, 0000321286||011001, 0000321287||011001, 0000321289||011001, 0000321290||011001
50;AKD_DATA+AKD_FILORI;CT2_DATA+CT2_FILIAL;chave_composta;32;2104;650;2104;650;32;32;100.0;100.0;100.0;0;0.0;1.5209;48884;30.0;20.4563;boa ancora de bloqueio;20260102||011001, 20260105||011001, 20260106||011001, 20260107||011001, 20260108||011001, 20260109||011001, 20260110||011001, 20260112||011001, 20260113||011001, 20260114||011001
