reason_signature;candidatos;selecionados;taxa_selecao
doc_hist_1|texto|tokens|valor;146;1;0.68
chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor;145;24;16.55
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;144;143;99.31
cc|classe_valor|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|tokens|valor|xnumap_at04db|xnumap_xdocum;144;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|ent05_conta|tokens|valor|xdoc|xdoc_at01cr;141;47;33.33
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|tokens|valor;136;0;0.0
chave_estruturada|competencia|doc_extra|doc_hist_1|texto|tokens|valor|xdoc|xdoc_at01cr;134;62;46.27
chave_estruturada|competencia|doc_extra|doc_hist_1|texto|tokens|valor;134;13;9.7
cc|ent05_conta|texto|valor;124;0;0.0
cc|classe_valor|conta_cc_classe|ent05_conta|texto|valor;120;0;0.0
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_1|ent05_conta|texto|tokens|valor;112;60;53.57
competencia|doc_hist_1|valor;112;7;6.25
cc|chave_estruturada|classe_valor|conta_cc_classe|doc_extra|ent05_conta|valor;111;0;0.0
cc|chave_estruturada|competencia|doc_extra|doc_hist_1|valor|xnumap_at04db|xnumap_xdocum;108;8;7.41
akd_xdoc_ct2_recno|cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_hist_2|ent05_conta|texto|tokens|valor;95;75;78.95
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|tokens|valor;92;4;4.35
cc|classe_valor|doc_extra|doc_hist_1|tokens|valor|xnumap_at04db|xnumap_xdocum;90;22;24.44
cc|competencia|doc_hist_1|valor;86;2;2.33
doc_hist_1|valor;81;0;0.0
competencia|doc_hist_1|texto|tokens|valor;80;28;35.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_1|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;76;70;92.11
cc|competencia|competencia_conta_cc|ent05_conta|texto|valor;74;0;0.0
cc|doc_hist_1|valor;70;5;7.14
cc|competencia|doc_extra|doc_hist_2|valor|xnumap_at04db|xnumap_xdocum;69;3;4.35
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|texto|tokens|valor|xdoc|xdoc_at01cr;65;31;47.69
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_2|texto|tokens|valor|xdoc|xdoc_at01cr;63;31;49.21
cc|chave_estruturada|classe_valor|doc_extra|valor;62;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|valor|xdoc|xdoc_at01cr;60;30;50.0
chave_estruturada|competencia|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xdoc|xdoc_at01cr;57;19;33.33
chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor|xdoc|xdoc_at01cr;56;19;33.93
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|tokens|valor|xnumap_at04db|xnumap_xdocum;50;3;6.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;49;7;14.29
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|valor|xnumap_at04db|xnumap_xdocum;49;6;12.24
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_1|tokens|valor|xnumap_at04db|xnumap_xdocum;46;3;6.52
cc|chave_estruturada|competencia|doc_extra|doc_hist_2|valor|xnumap_at04db|xnumap_xdocum;46;6;13.04
cc|classe_valor|tokens|valor;44;0;0.0
cc|chave_estruturada|competencia|competencia_conta_cc|doc_extra|doc_hist_2|ent05_conta|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;42;21;50.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|texto|tokens|valor;41;2;4.88
cc|competencia|doc_hist_1|texto|tokens|valor;41;5;12.2
chave_estruturada|competencia|doc_extra|doc_hist_2|texto|tokens|valor|xnumap_at04db|xnumap_xdocum;38;18;47.37
cc|classe_valor|conta_cc_classe|doc_extra|doc_hist_1|ent05_conta|valor|xdoc|xdoc_at01cr;38;38;100.0
cc|classe_valor|doc_extra|doc_hist_1|valor|xdoc|xdoc_at01cr;38;0;0.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|ent05_conta|tokens|valor;38;0;0.0
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|competencia_conta_cc|competencia_conta_classe|conta_cc_classe|doc_extra|doc_hist_2|ent05_conta|valor|xnumap_at04db|xnumap_xdocum;37;26;70.27
cc|chave_estruturada|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_extra|doc_hist_2|valor|xnumap_at04db|xnumap_xdocum;37;1;2.7
cc|doc_extra|doc_hist_2|valor|xnumap_at04db|xnumap_xdocum;36;0;0.0
cc|doc_hist_1|texto|tokens|valor;34;0;0.0
chave_estruturada|doc_extra|tokens|valor;33;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_1|valor;31;0;0.0
akd_xdoc_ct2_recno|competencia|doc_hist_1|ent05_conta|texto|tokens|valor;30;30;100.0
cc|classe_valor|competencia|competencia_cc_classe|competencia_classe|doc_hist_1|texto|tokens|valor;29;0;0.0
cc|competencia|doc_hist_2|tokens|valor;27;0;0.0
cc|competencia|competencia_conta_cc|doc_hist_2|ent05_conta|tokens|valor;25;0;0.0
chave_estruturada|classe_valor|competencia|competencia_classe|doc_extra|doc_hist_2|texto|tokens|valor;24;0;0.0
